"ProvRoute","Year","Ponds"
"45320",1982,72.1666666666667
"45320",1983,107.833333333333
"45320",1984,39.3333333333333
"45320",1985,66
"45320",1986,119.5
"45320",1987,120.833333333333
"45320",1988,42.8333333333333
"45320",1989,30.1666666666667
"45320",1990,75.1666666666667
"45320",1991,83.3333333333333
"45320",1992,67.5
"45320",1993,77
"45320",1994,41.5
"45320",1995,77.5
"45320",1996,124.666666666667
"45320",1997,100.833333333333
"45320",1998,91.8333333333333
"45320",1999,82.6666666666667
"45320",2000,123.166666666667
"45320",2001,150
"45320",2002,27.1666666666667
"45320",2003,51.3333333333333
"45320",2004,112.833333333333
"45320",2005,198.666666666667
"45320",2006,152.833333333333
"45320",2007,115.333333333333
"45320",2008,111.833333333333
"45320",2009,169.666666666667
"45320",2010,118.166666666667
"45320",2011,115.5
"45320",2012,103.833333333333
"45320",2013,96.1666666666667
"45320",2014,96.5
"45320",2015,109.333333333333
"45320",2016,66.5
"45320",2017,75.6666666666667
"45320",2018,81
"45320",2019,61.1666666666667
"45320",2022,106.833333333333
"4330",1969,24
"4330",1970,23
"4330",1971,58
"4330",1972,60
"4330",1973,59
"4330",1974,113
"4330",1975,32
"4330",1976,38
"4330",1977,53
"4330",1978,38
"4330",1979,61
"4330",1980,43
"4330",1981,59
"4330",1982,68
"4330",1983,41
"4330",1984,39
"4330",1985,63
"4330",1986,45
"4330",1987,31
"4330",1988,24
"4330",1989,37
"4330",1990,69
"4330",1991,84
"4330",1992,44
"4330",1993,58
"4330",1994,44
"4330",1995,31
"4330",1996,48
"4330",1997,69
"4330",1998,52
"4330",1999,47
"4330",2000,40
"4330",2001,20
"4330",2002,55
"4330",2003,32
"4330",2004,36
"4330",2005,73
"4330",2006,56
"4330",2007,17
"4330",2008,39
"4330",2009,18
"4330",2010,22
"4330",2011,20
"4330",2012,15
"4330",2013,34
"4330",2014,39
"4330",2015,26
"4330",2016,27
"4330",2017,35
"4330",2018,27
"4330",2019,36
"4330",2022,32
"4327",1969,24.75
"4327",1970,27.25
"4327",1971,49
"4327",1972,65
"4327",1973,51.5
"4327",1974,106
"4327",1975,22.5
"4327",1976,30.75
"4327",1977,48
"4327",1978,31.25
"4327",1979,51.5
"4327",1980,53
"4327",1981,60
"4327",1982,44.75
"4327",1983,26.5
"4327",1984,62.5
"4327",1985,41.25
"4327",1986,56.5
"4327",1987,31.75
"4327",1988,17.5
"4327",1989,27
"4327",1990,52.25
"4327",1991,36
"4327",1992,26
"4327",1993,30.25
"4327",1994,37
"4327",1995,54
"4327",1996,61
"4327",1997,83.5
"4327",1998,39
"4327",1999,40.75
"4327",2000,23
"4327",2001,20.25
"4327",2002,18
"4327",2003,25.75
"4327",2004,34.75
"4327",2005,74
"4327",2006,93
"4327",2007,28.5
"4327",2008,57.5
"4327",2009,30.75
"4327",2010,25.5
"4327",2011,44.75
"4327",2012,25.5
"4327",2013,62.75
"4327",2014,46.75
"4327",2015,33.5
"4327",2016,34
"4327",2017,55
"4327",2018,43.75
"4327",2019,40.5
"4327",2022,45.5
"79005",1969,50.75
"79005",1970,88.5
"79005",1971,39
"79005",1972,28.75
"79005",1973,12.25
"79005",1974,63.75
"79005",1975,54.75
"79005",1976,48.5
"79005",1977,18.75
"79005",1978,33
"79005",1979,49.25
"79005",1980,19.75
"79005",1981,7.75
"79005",1982,38.25
"79005",1983,47.75
"79005",1984,24
"79005",1985,33.75
"79005",1986,54.75
"79005",1987,19
"79005",1988,12.75
"79005",1989,16.75
"79005",1990,15.5
"79005",1991,30.5
"79005",1992,8
"79005",1993,15
"79005",1994,45
"79005",1995,19.5
"79005",1996,67.25
"79005",1997,78
"79005",1998,37
"79005",1999,61.25
"79005",2000,16.25
"79005",2001,35.75
"79005",2002,13.75
"79005",2003,80.25
"79005",2004,40.25
"79005",2005,47.5
"79005",2006,45.75
"79005",2007,42.75
"79005",2008,6.5
"79005",2009,50.75
"79005",2010,71.25
"79005",2011,76.5
"79005",2012,56.75
"79005",2013,65.25
"79005",2014,56
"79005",2015,40.25
"79005",2016,17
"79005",2017,31.5
"79005",2018,26.25
"79005",2019,26
"79005",2022,31
"4326",1969,NA
"4326",1970,NA
"4326",1971,NA
"4326",1972,NA
"4326",1973,NA
"4326",1974,NA
"4326",1975,21.6666666666667
"4326",1976,16.6666666666667
"4326",1977,36
"4326",1978,17
"4326",1979,28.6666666666667
"4326",1980,20
"4326",1981,25
"4326",1982,24.3333333333333
"4326",1983,19.6666666666667
"4326",1984,32
"4326",1985,23.3333333333333
"4326",1986,31
"4326",1987,17
